,Cod_setor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
42,313820305000043,3,3,4,4,2,4,6,2,5,6,8,7,8,6,10,10,10,10,6,10,10,3,7,5,9,2,5,8,6,5,5,3,7,4,6,4,9,8,7,7,6,10,11,10,4,10,8,4,8,7,7,10,11,16,8,8,4,5,5,5,7,2,2,1,1,2,3,3,4,2,2,2,1,3,1,1,2,2,0,0,1,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,313820305000044,2,0,2,3,1,1,3,1,2,2,6,4,1,4,2,4,3,6,2,5,5,4,7,8,5,9,6,6,6,4,10,7,4,6,6,7,2,3,4,0,5,2,5,4,7,4,8,5,4,8,6,3,4,7,7,7,0,3,3,5,9,2,4,2,1,2,1,1,5,3,2,2,3,1,5,0,2,4,0,2,2,2,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,313820305000045,0,4,1,1,1,1,0,1,2,0,1,1,2,0,2,2,4,2,3,8,5,4,1,2,2,1,1,7,2,2,2,1,1,4,4,0,3,2,4,0,3,3,3,2,2,0,6,6,3,4,4,2,3,4,3,9,7,5,5,2,2,5,1,0,3,1,3,3,2,0,1,1,2,3,1,0,2,2,0,1,0,1,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,313820305000046,2,3,3,1,4,1,3,2,1,3,0,1,0,0,1,3,3,5,4,3,6,4,2,6,5,5,8,0,3,5,1,2,1,3,5,5,5,2,3,0,4,2,2,3,5,3,5,2,4,5,4,1,9,1,1,3,2,1,2,4,1,1,3,2,1,5,1,0,2,1,1,3,2,2,0,0,0,1,2,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
46,313820305000047,1,4,4,8,3,10,6,9,11,10,8,8,9,12,6,7,8,7,9,5,8,12,17,8,3,5,8,6,7,8,4,10,10,4,5,7,7,8,7,3,9,7,5,6,8,6,5,6,4,7,3,8,6,6,3,6,7,6,10,4,3,5,5,5,3,6,2,2,3,9,3,3,3,2,2,1,2,4,3,4,0,1,3,0,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
47,313820305000048,3,3,1,2,1,3,3,4,2,0,6,6,1,0,5,2,0,3,9,4,1,7,7,7,7,5,2,7,5,6,4,5,5,6,2,2,3,3,5,3,6,3,1,4,4,3,5,3,5,2,4,3,5,4,6,4,4,10,3,2,8,4,5,2,3,4,4,4,1,3,3,6,2,2,2,2,1,3,0,3,1,2,1,1,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
48,313820305000049,2,1,0,2,6,3,4,3,1,4,4,3,2,3,3,1,4,4,3,4,4,5,4,5,4,5,5,7,6,4,4,8,2,2,3,5,1,1,3,7,2,5,2,1,2,3,6,9,5,6,3,5,4,1,3,5,7,0,2,5,2,0,4,1,2,2,4,1,0,4,1,2,1,2,1,1,3,1,3,2,1,3,0,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
49,313820305000050,5,1,2,5,3,2,2,7,3,3,9,4,6,8,9,9,2,7,8,7,9,9,9,10,10,11,8,3,5,6,10,7,9,7,3,1,5,6,5,5,5,4,1,6,8,9,10,8,7,8,10,8,6,13,12,6,8,9,11,3,4,5,7,4,3,5,4,3,2,2,0,1,1,0,2,4,3,1,2,4,2,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,313820305000051,4,4,1,2,7,6,6,7,7,6,4,8,8,3,4,8,10,9,11,7,7,14,6,5,6,9,8,5,8,6,6,5,6,7,7,5,3,5,6,3,2,9,10,4,6,5,6,4,4,3,6,9,5,3,9,8,6,5,4,4,1,3,1,3,7,6,1,1,3,5,4,2,6,3,5,0,3,3,2,1,4,0,2,1,2,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
51,313820305000052,2,2,3,2,5,3,5,2,3,2,3,2,3,1,7,3,6,5,2,3,5,5,5,7,2,7,4,5,2,4,9,3,4,6,4,4,7,3,7,5,3,3,4,2,3,6,5,3,4,2,4,5,1,5,3,8,4,7,3,4,4,4,1,2,3,2,2,3,2,4,1,2,7,1,5,2,3,3,0,2,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,313820305000053,3,5,4,6,3,4,6,2,5,3,8,2,8,3,5,3,6,4,3,4,15,6,8,10,9,9,5,8,11,7,8,7,6,7,7,4,5,4,6,3,8,8,7,4,3,8,6,5,3,6,8,4,10,3,3,3,2,6,6,6,3,5,5,3,1,2,2,1,4,3,2,2,1,0,4,1,2,0,0,1,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,313820305000054,1,6,3,5,5,9,3,10,6,5,11,7,8,3,7,7,5,6,1,8,7,5,9,6,1,8,7,5,7,5,13,5,11,5,5,10,9,5,10,12,9,6,8,6,4,9,4,6,4,3,7,1,5,5,3,2,4,2,3,2,3,1,2,4,1,1,1,1,3,2,2,0,1,2,2,1,0,2,1,2,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
54,313820305000055,7,1,4,3,4,1,6,8,1,6,5,5,7,3,6,7,6,5,5,0,4,1,5,7,5,6,4,1,4,5,5,4,2,5,1,5,5,6,1,2,5,7,3,2,3,1,3,3,2,2,2,2,3,3,1,4,2,6,2,4,1,0,4,2,0,0,2,0,2,1,0,0,3,1,2,1,0,0,2,1,2,0,2,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0
55,313820305000056,3,3,6,5,3,6,2,4,8,7,1,8,5,6,3,2,6,6,3,3,6,5,6,5,4,4,6,3,5,6,6,4,5,5,6,0,3,2,4,2,3,4,4,1,4,4,6,1,4,5,6,3,4,4,3,0,4,3,0,2,0,0,4,1,2,0,0,2,1,0,3,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,313820305000057,5,5,6,14,4,8,8,5,11,11,11,10,6,11,11,7,10,8,10,8,6,12,5,7,5,7,11,8,13,9,7,15,6,4,11,9,8,7,9,11,4,3,6,8,6,7,4,7,8,8,7,3,3,8,4,2,5,5,4,4,4,2,3,2,3,2,4,2,2,1,6,3,3,0,2,3,1,1,2,0,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,313820305000058,5,2,2,5,6,4,4,5,8,7,3,5,4,4,9,3,10,4,6,4,9,5,6,7,12,8,5,8,2,4,3,7,6,8,2,11,4,7,5,2,6,5,5,4,5,8,8,6,7,4,4,7,2,3,5,0,5,5,3,5,2,5,0,9,5,2,5,2,3,2,1,2,2,4,1,1,3,0,0,1,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
58,313820305000059,6,3,5,6,11,6,10,8,11,8,9,11,8,5,11,8,7,9,11,7,10,3,3,6,7,3,9,6,7,11,5,13,5,7,5,10,7,14,8,7,10,9,8,5,8,8,1,4,6,5,3,6,5,4,7,2,2,5,2,4,3,3,2,7,1,2,1,3,6,1,3,1,0,3,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,313820305000060,6,8,3,7,4,5,5,5,4,4,4,7,2,6,7,6,5,8,6,8,10,8,10,7,5,9,4,3,5,1,9,10,6,5,3,8,5,5,1,4,11,3,10,8,3,10,4,4,7,2,6,2,6,5,10,5,3,3,3,3,5,1,4,1,1,4,2,1,2,0,0,1,2,3,1,0,3,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
60,313820305000061,2,5,4,2,1,5,2,1,6,2,4,3,2,3,5,5,3,8,2,7,2,7,7,2,4,2,5,6,5,4,6,2,1,4,5,3,3,0,2,1,4,2,8,2,2,3,2,2,5,3,4,7,1,6,2,3,4,0,1,5,3,2,2,5,4,2,0,0,1,2,0,2,0,0,2,0,2,1,0,2,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
61,313820305000063,3,5,5,4,1,3,10,3,6,4,6,4,6,5,4,7,8,7,1,7,6,6,8,10,5,13,10,7,7,5,7,7,7,7,3,6,3,2,7,5,3,4,4,4,3,3,4,8,6,4,5,4,6,8,6,3,1,3,4,4,5,3,7,3,1,1,2,2,3,4,0,1,1,2,1,0,0,0,3,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
62,313820305000064,7,4,7,5,8,4,6,7,9,2,3,9,8,13,11,8,6,12,5,9,4,12,16,7,9,7,9,8,7,9,7,10,10,10,7,8,13,7,14,12,11,7,13,9,9,12,9,7,7,7,10,8,6,6,7,7,7,9,6,5,3,6,6,4,2,2,1,2,3,2,1,5,3,0,0,1,1,2,1,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
63,313820305000065,0,3,5,4,10,4,2,3,5,5,1,6,2,5,2,7,3,4,4,4,2,3,7,7,5,6,10,7,8,8,10,3,8,5,5,5,3,3,3,8,1,3,4,3,7,5,8,5,6,3,4,3,5,4,4,5,5,4,5,2,2,2,4,6,3,6,2,4,3,2,3,0,3,1,2,2,2,0,2,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,313820305000066,4,2,3,2,5,4,4,6,0,0,2,1,5,2,2,3,6,2,5,4,4,13,12,1,7,4,8,5,6,6,4,3,4,11,3,7,6,4,2,3,3,4,6,6,5,3,8,6,7,4,6,7,2,4,5,3,5,8,4,6,4,3,6,1,3,5,1,1,4,1,4,1,4,0,3,2,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,313820305000067,3,7,7,7,5,9,7,1,6,4,4,5,9,3,9,6,7,8,2,6,7,6,9,9,15,13,6,8,9,9,9,8,6,9,4,4,4,7,3,6,9,2,6,9,6,6,6,4,3,12,6,1,7,7,4,3,9,5,3,3,2,6,4,2,4,0,3,1,0,0,2,2,1,0,3,2,1,2,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,313820305000068,4,2,1,5,2,2,4,5,2,3,2,6,7,7,12,3,3,2,4,1,6,5,8,6,2,4,5,6,5,6,5,8,0,1,3,3,3,3,2,4,7,7,4,7,6,7,3,4,6,6,6,6,4,4,3,5,5,3,4,2,4,2,4,1,4,1,1,0,4,3,1,1,4,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0
67,313820305000069,2,2,2,3,2,1,6,4,3,9,3,3,7,3,8,5,3,7,7,5,3,4,3,5,6,8,7,5,3,4,4,6,5,4,4,5,4,4,3,5,4,6,4,2,5,9,9,4,4,6,3,3,12,1,3,3,4,4,5,1,2,4,7,2,4,4,1,2,3,1,3,2,4,1,3,2,3,3,0,2,0,1,1,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0
68,313820305000070,5,2,0,5,5,6,7,2,1,2,5,7,7,5,4,3,9,6,6,2,2,6,7,8,9,7,2,7,7,8,5,3,6,4,4,2,3,4,3,7,4,7,6,2,7,2,9,6,4,3,3,3,4,2,6,4,3,4,7,4,6,3,1,5,2,8,1,3,1,4,1,0,3,2,3,2,4,0,2,2,6,3,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,1
69,313820305000071,2,4,1,4,3,6,4,5,0,3,5,7,3,3,4,9,4,4,7,5,4,7,6,7,5,4,6,9,8,8,10,5,6,4,10,2,3,6,6,6,4,5,8,6,3,4,8,6,9,3,6,7,4,5,6,6,2,2,6,4,3,2,1,2,3,2,3,2,2,4,3,0,1,0,2,3,4,1,2,2,4,4,4,2,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
70,313820305000072,2,4,4,2,2,1,4,1,2,2,2,2,3,3,6,3,2,1,1,4,4,4,5,3,2,5,3,5,4,4,5,4,6,3,4,2,1,1,3,3,7,4,1,5,5,6,4,6,3,1,3,3,4,2,1,2,6,5,2,2,5,3,2,3,3,0,3,1,0,2,2,1,2,1,0,0,2,3,2,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,313820305000073,5,6,3,5,5,5,5,4,1,4,7,8,1,2,6,3,3,5,5,5,4,5,4,5,5,7,5,6,11,7,5,5,4,8,3,3,8,5,4,5,0,1,3,6,3,6,4,7,5,5,9,8,7,6,8,3,6,5,3,2,3,1,3,3,0,3,3,0,1,2,1,0,2,1,3,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
72,313820305000074,4,4,1,4,4,2,5,2,2,3,8,4,5,10,5,11,13,8,14,5,10,5,5,10,5,5,9,7,4,7,4,4,7,10,2,7,7,6,5,3,1,2,5,13,7,5,7,7,10,5,12,10,3,4,7,1,3,3,6,5,5,3,2,4,0,3,3,1,1,0,3,0,0,2,1,2,0,2,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
73,313820305000075,4,5,5,9,7,7,6,7,5,7,7,11,7,7,10,15,6,7,10,6,7,11,7,7,4,10,6,6,7,6,5,5,7,6,7,6,6,8,1,4,7,5,4,5,1,3,5,2,2,7,4,4,6,4,4,7,1,4,1,1,6,2,1,3,2,4,3,1,2,0,3,4,1,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,313820305000076,1,3,3,9,1,3,4,2,5,4,4,4,8,3,5,2,9,5,4,4,10,5,6,8,5,4,2,3,6,6,3,7,4,5,2,3,3,4,1,6,5,5,5,6,9,2,8,3,8,2,8,4,4,5,5,5,2,5,2,2,2,1,2,3,4,3,1,0,1,0,1,1,0,3,0,1,0,4,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,313820305000077,6,1,4,9,3,6,1,6,5,6,4,8,5,8,2,3,4,11,7,6,4,6,5,1,6,3,2,4,9,5,3,5,4,5,4,3,5,6,3,3,3,6,5,4,8,1,2,4,0,3,1,1,4,3,3,4,5,3,4,5,5,3,2,6,0,1,2,5,1,0,0,0,3,2,2,1,1,2,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,313820305000078,10,3,3,3,3,2,7,3,9,2,1,5,9,8,13,4,7,8,7,8,6,6,5,4,4,4,6,10,6,3,13,5,6,2,4,0,4,8,5,8,5,1,2,7,8,6,8,4,4,3,6,8,6,4,5,4,0,2,3,1,0,3,4,5,0,0,0,0,3,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,313820305000079,1,1,5,6,7,2,4,5,2,4,4,2,3,4,6,9,5,5,7,10,4,6,5,3,8,6,10,2,5,1,7,3,4,6,3,3,6,4,4,1,4,8,8,3,2,3,5,11,5,7,5,4,2,3,4,2,3,5,3,1,5,1,1,3,2,0,1,2,3,0,1,1,2,2,3,1,2,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,313820305000080,8,4,5,4,5,4,6,7,7,4,6,10,8,14,10,11,8,10,10,6,8,9,8,13,5,7,8,4,9,6,6,7,9,7,5,9,4,11,2,7,2,2,4,1,2,12,3,13,7,4,6,7,5,7,6,6,8,6,3,3,7,5,3,5,1,3,3,8,4,3,3,2,1,2,3,1,2,3,2,0,1,2,1,2,2,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0
79,313820305000081,3,3,4,4,4,5,6,9,4,9,8,3,10,10,11,9,4,6,9,4,8,2,6,5,4,5,6,6,7,6,8,5,4,5,3,6,4,2,5,6,6,8,8,5,5,3,7,7,5,4,6,4,3,2,2,5,4,6,3,1,2,5,2,5,5,6,2,4,4,5,3,1,2,3,1,2,4,2,0,1,2,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
80,313820305000082,6,2,4,4,7,6,8,8,5,3,8,7,9,12,2,6,6,5,5,9,10,6,9,6,9,5,4,11,3,8,3,8,9,3,14,7,5,9,6,2,3,4,4,4,7,7,3,6,8,6,3,3,8,6,6,4,3,5,5,2,4,6,2,4,2,7,2,4,0,1,0,2,1,2,1,0,2,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
81,313820305000083,6,1,4,7,8,13,9,3,11,13,11,12,6,5,10,8,14,8,9,8,7,10,5,7,9,12,7,5,10,11,6,6,8,3,7,10,5,6,5,8,6,8,8,8,4,9,8,3,4,4,6,4,5,2,9,7,3,2,2,3,3,4,5,3,2,1,4,2,3,2,1,2,0,2,2,1,0,1,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,313820305000084,2,5,2,3,3,1,5,6,6,2,5,1,8,8,3,3,3,5,10,9,5,10,4,5,5,3,7,6,3,5,2,7,7,3,1,6,7,10,5,5,9,7,4,7,9,7,3,6,4,3,5,5,7,7,4,2,7,2,4,4,1,4,0,2,3,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
83,313820305000085,3,9,6,8,2,4,6,3,10,7,10,4,11,5,12,10,6,7,6,6,1,7,4,5,4,8,9,5,5,5,6,7,7,9,6,8,2,8,5,5,9,1,3,6,3,2,3,2,4,5,3,2,3,1,10,3,3,4,5,3,3,0,2,0,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,313820305000086,8,7,7,3,5,3,3,2,6,9,5,6,5,4,6,6,5,6,4,10,6,9,6,5,5,5,12,6,7,6,6,3,14,2,2,10,4,8,4,5,5,8,3,5,4,3,4,4,5,8,6,6,5,3,6,3,5,4,1,7,5,3,4,2,3,3,4,2,1,2,0,1,2,4,0,4,4,4,1,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
